Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 29, Brooklyn, New York",29-RC-349935,"Snug Harbor Cultural Center & Botanical Garden",Closed,09/06/2024,10/07/2024,"Certific. of Representative","Staten Island",NY,A,"Single Labor Organization",Initial,09/26/2024,12,,"Local One Security Officers Union",8,,,,,,8,,,,"Local One Security Officers Union","Included: All full-time and regular part-time rangers employed by the Employer at its facility located at 1000 Richmond Terrace, Staten Island, New York.
Excluded: All other employees and supervisors as defined by the Act.
",,,
"Region 18, Minneapolis, Minnesota",18-RC-348090,"Allina Health d/b/a New Ulm Medical Center",Closed,08/12/2024,10/03/2024,"Certification of Results","New Ulm",MN,A,"Single Labor Organization",Initial,09/26/2024,6,,"Minnesota Nurses Association",1,,,,,5,6,,,,,"Included: All full-time and regular part-time certified registered nurse anesthetists employed by the Employer at the Allina Health New Ulm Medical Center located at 1324 5th Street N. New Ulm, Minnesota 56073.
Excluded:  All other employees, managerial employees, office clerical employees, confidential employees, and guards and supervisors as defined by the Act. 
",,,
"Region 27, Denver, Colorado",27-RC-349057,"Wells Fargo Bank, N.A.",Closed,08/26/2024,10/04/2024,"Certific. of Representative",Casper,WY,A,"Single Labor Organization",Initial,09/26/2024,5,,"Wells Fargo Workers United, affiliated with Communication Workers of America, AFL-CIO",3,,,,,2,5,,,,"Wells Fargo Workers United, affiliated with Communication Workers of America, AFL-CIO","Included: All full-time and regular part-time Tellers, Personal Bankers, Personal Bankers, 
Relationship Bankers, and Branch Operations Coordinators employed by the Employer at its facility 
located at 3500 Cy Avenue, Casper, WY 82604.
Excluded:  All  office clerical  employees,  Branch Managers,  Branch  Operations Associate 
Managers, Service Managers, Financial Advisors, professional employees, confidential employees, 
guards, and supervisors, as defined in the Act, and all other
employees.
",,,
"Region 21, Los Angeles, California",21-RC-347478,"Philips North America LLC",Closed,08/02/2024,10/04/2024,"Certific. of Representative","San Diego",CA,A,"Single Labor Organization",Initial,09/26/2024,18,,"International Association of Machinists and Aerospace Workers, Local Lodge 1125, AFL-CIO",12,,,,,3,15,,,,"International Association of Machinists and Aerospace Workers, Local Lodge 1125, AFL-CIO","Included: All full-time and regular part-time field service engineers I, field service engineers II, and field service engineers III assigned to work in San Diego, California.

Excluded:  All other employees, office clerical employees, professional employees, managerial employees, confidential employees, guards, and supervisors as defined in the Act.
",,,
"Region 31, Los Angeles, California",31-RD-349788,"Hertz Corporation",Closed,09/05/2024,10/04/2024,"Certification of Results","Los Angeles",CA,A,"Single Labor Organization",Initial,09/26/2024,41,,"CWA Local 9003",15,,,,,21,36,,,,,"Included: All full-time and regular part-time Customer Care Representatives
(otherwise known as Rental Agents), Express Agents, Instant Return
Representatives and Lot Attendants employed by the Employer at its facility
located at 9000 Airport Boulevard, Los Angeles, CA, 90045.

Excluded: All other employees, including courtesy bus drivers, mechanics,
vehicle service attendants, tire and lube workers, back office administrator/clerks,
Exit Gate Agents/Security Representatives, Managers and guards and supervisors
as defined in the Act.",,,
"Region 09, Cincinnati, Ohio",09-RC-350382,"STARBUCKS CORPORATION",Closed,09/11/2024,10/04/2024,"Certific. of Representative","Upper Arlington",OH,A,"Single Labor Organization",Initial,09/26/2024,18,,"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU",10,,,,,,10,,,,"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU","All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 1315 W Lane Avenue, Suite. H, Upper Arlington, Ohio, excluding all store managers, assistant store managers, office clericals, guards, professional employees and supervisors as defined by the Act, and all other employees.
",,,
"Region 25, Indianapolis, Indiana",25-RM-348686,"Orkin, LLC",Closed,08/19/2024,10/04/2024,"Certific. of Representative","Crystal Lake",IL,A,"Single Labor Organization",Initial,09/26/2024,25,,"Chauffeurs, Teamsters and Helpers Local No. 301",20,,,,,5,,,,,"Chauffeurs, Teamsters and Helpers Local No. 301","Included: All full-time and regular part-time pest control route managers, termite control technicians, hourly pest control specialists, pest control technicians, and trouble route technicians employed by the Employer at its facility located in Crystal Lake, Illinois.

Excluded: All office clerical employees, professional employees, sales employees, inspectors, managerial employees, guards and supervisors as defined by the Act, and all other employees.
",,,
"Region 25, Indianapolis, Indiana",25-RC-349594,"Vestis Services, LLC",Closed,08/30/2024,10/04/2024,"Certific. of Representative",Rockford,IL,A,"Single Labor Organization",Initial,09/26/2024,4,,"Teamsters Local 325",3,,,,,,3,,,,"Teamsters Local 325","Included: All full-time and regular part-time RSS drivers employed by the Employer at its facility located in Rockford, Illinois.

Excluded: All office clerical employees, professional employees, managerial employees, guards and supervisors as defined by the Act, and all other employees.

",,,
"Region 13, Chicago, Illinois",13-RC-349494,"BOX Acquisitions, LLC d/b/a BOX Partners",Closed,09/03/2024,10/10/2024,"Certific. of Representative",Elgin,IL,A,"Single Labor Organization",Initial,09/26/2024,118,,"LiUNA Laborers Local 681",75,,,,,34,107,,7,,"LiUNA Laborers Local 681","Included: All Warehouse Skilled, Warehouse Labor, and Warehouse Lead employees who are employed by the Employer at its facilities located at Building 1, 2650 Galvin Drive, Elgin, IL 60124, and Building 3, 2601 Galvin Drive, Elgin, IL 60124.
Excluded: All other employees, drivers, customer service employees, confidential employes, managerial employees, professional employees, guards and supervisors as defined in the Act.",,,
"Region 20, San Francisco, California",20-RC-349041,"Hyatt Corporation d/b/a Hyatt Regency Sacramento",Closed,08/23/2024,10/10/2024,"Certification of Results",Sacramento,CA,A,"Single Labor Organization",Initial,09/26/2024,203,1,"UNITE HERE Local 49",60,,,,,110,170,,20,,,"Included: all full-time and regular part-time employees in the housekeeping, banquets, food & beverage, culinary, stewarding, front desk, telecommunications, bell, door and valet departments at the Employer’s 1209 L Street, Sacramento, California location, including the following classifications: beverage server; barback; barista; bartender; bell attendant; cashier; communications operator; coffee break; cook 1; cook 2; cook 3; door attendant; events server; event services set-up; F&B runner; front desk host; greeter; housekeeping supervisor; houseperson; linen attendant; night auditor; operator; pastry supervisor; public attendant; Regency Club concierge; reservations agent; room attendant; rooms control clerk; seasonal pool attendant; server; server assistant; steward; stewarding lead; turn down attendant; valet cashier; valet runner; and wardrobe attendant. 

Excluded: Employees in the sales & marketing department; store-room attendant, office clericals, professional employees, guards, managerial employees, and supervisors as defined by the Act.
",,,
"Region 12, Tampa, Florida",12-RM-348920,"Parsec, Inc.",Closed,08/23/2024,10/17/2024,"Certific. of Representative",Jacksonville,FL,A,"Single Labor Organization",Initial,09/26/2024,64,1,"International Brotherhood of Teamsters, Local Union 512",32,,,,,26,58,,,,"International Brotherhood of Teamsters, Local Union 512","Included:  All full-time and regular part-time drivers, operators, groundmen, and leads, employed by the Employer at its Jacksonville, Florida facility. 

Excluded: All other employees, trailer repair employees, gate clerks, office clerical employees, professional employees, guards, and supervisors as defined by the Act.",,,
"Region 22, Newark, New Jersey",22-RC-349484,"Clean Harbors Environmental Services, Inc.",Closed,09/03/2024,10/08/2024,"Certific. of Representative","South Plainfield",NJ,A,"Single Labor Organization",Initial,09/26/2024,5,,"International Brotherhood of Teamsters, Local 11",3,,,,,1,,,,,"International Brotherhood of Teamsters, Local 11","Included:	All full-time and regular part-time vehicle maintenance mechanics employed by the Employer at its 165 Ryan Street, South Plainfield, New Jersey facility.

Excluded:	All drivers, warehouse employees, field services employees, maintenance employees, office clerical employees, managers, professional employees, guards and supervisors as defined by the Act, and all other employees.


",,,
"Region 25, Indianapolis, Indiana",25-RC-349199,"Hearthside Food Solutions, LLC",Closed,08/27/2024,10/03/2024,"Certification of Results","Michigan City",IN,A,"Single Labor Organization",Initial,09/25/2024,22,,"Bakery, Confectionery, Tobacco Workers, and Grain Millers Union, AFL-CIO, CLC, Local 1",2,,,,,17,19,,1,,,"Included: All full-time and part-time maintenance employees employed by the Employer at its
Michigan City, Indiana facility.

Excluded: All office clerical employees, professional employees, guards and supervisors as
defined by the Act, and all other employees.",,,
"Region 01, Boston, Massachusetts",01-RC-349333,"Smith College Center for Early Childhood Education",Closed,08/29/2024,10/03/2024,"Certific. of Representative",Northampton,MA,A,"Single Labor Organization",Initial,09/25/2024,27,,"United Auto Workers Local 2322",21,,,,,,2,,,,"United Auto Workers Local 2322","All full-time and regular part-time Teachers and Supervisor Teachers employed by the Employer its Northampton, Massachusetts facility, but excluding all students, office clerical employees, confidential employees, managers, and guards and supervisors as defined by the Act.
Others Permitted to Vote: The parties agree that Casual employees may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.
",,,
"Region 31, Los Angeles, California",31-RC-347870,"TheatreDreams LA/CHI, L.P., a California limited partnership",Closed,08/07/2024,10/03/2024,"Certific. of Representative","Los Angeles",CA,A,"Single Labor Organization",Initial,09/25/2024,8,,"Amusement Area Employees Union, IATSE Local B-192",5,,,,,,5,,,,"Amusement Area Employees Union, IATSE Local B-192","INCLUDED: All full-time and regular part-time tour guides employed by the Employer at its facility located at 6801 Hollywood Boulevard, Los Angeles, CA 90028.
EXCLUDED: All other employees, confidential employees, managerial employees, guards, and supervisors as defined in the Act, as amended.",,,
"Region 05, Baltimore, Maryland",05-RC-349629,"Science Applications International Corporation, Inc.",Closed,09/04/2024,10/03/2024,"Certification of Results",Leesburg,VA,A,"Single Labor Organization",Initial,09/25/2024,17,,"International Association of Machinists and Aerospace Workers, AFL-CIO, CLC",5,,,,,9,14,,,,,"INCLUDED: All full-time and regular part-time Air Traffic Control Instructors I and Air Traffic Control Instructors II employed by Science Applications International Corporation, Inc. at FAA Washington Air Route Traffic Center (ARTCC ZDC). 

EXCLUDED: All other employees, office clerical employees, managerial employees, professional employees, guards, and supervisors as defined by the National Labor Relations Act. 
",,,
"Region 19, Seattle, Washington",19-RC-349522,"Therapeutic Essentials LLC d/b/a Honey Sour",Closed,08/30/2024,10/03/2024,"Certific. of Representative",Butte,MT,A,"Single Labor Organization",Initial,09/25/2024,6,,"United Food and Commercial Workers Local 1889, affiliated with United Food and Commercial Workers International Union",6,,,,,,6,,,,"United Food and Commercial Workers Local 1889, affiliated with United Food and Commercial Workers International Union","All full-time and regular part-time budtenders employed by the Employer at its facilities located at 1210 Harrison Ave, Butte, MT and 3348 Harrison Ave, Butte, MT; excluding all other employees, confidential employees, managerial employees, and guards and supervisors as defined by the Act.",,,
"Region 27, Denver, Colorado",27-RC-348729,"BGIS Global Integrated Solutions US, LLC",Closed,08/20/2024,10/03/2024,"Certific. of Representative","West Jordan",UT,A,"Single Labor Organization",Initial,09/25/2024,10,,"International Brotherhood of Electrical Workers Local 354",10,,,,,,10,,,,"International Brotherhood of Electrical Workers Local 354","Included: All full-time and regular part-time Data Center Technicians employed by the
Employer at 3333 West, 9000 South, West Jordan, Utah.

Excluded: Office clerical employees, guards, professional employees, managers, and
supervisors, as defined the Act, and all other employees.
",,,
"Region 09, Cincinnati, Ohio",09-RC-349933,"AMERICAN ELECTRIC POWER SERVICE CORPORATION",Closed,09/09/2024,10/04/2024,"Certific. of Representative",Chillicothe,OH,A,"Single Labor Organization",Initial,09/25/2024,9,,"International Brotherhood of Electrical Workers, AFL-CIO, (IBEW), Local 1466",8,,,,,,8,,,,"International Brotherhood of Electrical Workers, AFL-CIO, (IBEW), Local 1466","All full time and regular part time Telecom Associates Technicians, Telecom Technicians, Telecom Principal Technicians, Telecom Senior Technicians, and Telecom Lead Technicians employed by the Ohio Power Company (formerly the “Columbus and Southern Districts”) and American Electric Power Service Corporation currently reporting out of the Chillicothe and Athens Districts and to include the employees in the Mountaineer Power Station, but excluding all other employees, and all professional employees, supervisors and guards as defined in the Act.
",,,
"Region 29, Brooklyn, New York",29-RC-345616,"Northwell Health Laboratories",Closed,07/02/2024,10/04/2024,"Certific. of Representative","Lake Success",NY,A,"Single Labor Organization",Initial,09/25/2024,867,8,"1199SEIU, United Healthcare Workers East",502,,,,,113,615,,15,,"1199SEIU, United Healthcare Workers East","Included:
All full time, part time and per diem* employees employed by the Employer at the locations listed below in the following titles: Clinical Laboratory Technologist; Lead Clinical Laboratory Technologist; Clinical Laboratory Technologist – Specialty; Clinical Laboratory Technicians; Senior Scheduler; Phlebotomist; Lead Phlebotomist; Senior Phlebotomist; Staffing Assistant; Clinical Laboratory Accessioner; Lead Clinical Laboratory Accessioner; Clinical Laboratory Assistant; Senior Clinical Laboratory Assistant; Laboratory Customer Service Representative; Lead Laboratory Customer Service Representative; Senior Laboratory Customer Service Representative, Distribution Operations Assistant; Lead Distribution Operations Assistant; Senior Distribution Operations Coordinator; Transportation Services Associate; Transportation Services Coordinator; and Lead Transportation Services Associate.

Excluded: All other employees of the Employer, guards, managers, confidential employees and supervisors as defined by the Act.

* Per diem employees that are eligible to vote are those employees who worked an average of 4 hours or more per week over the preceding thirteen (13) week period.

",,,
"Region 29, Brooklyn, New York",29-RC-345119,"White Glove Community Care, Inc.",Closed,06/25/2024,10/04/2024,"Certific. of Representative",Brooklyn,NY,A,"Single Labor Organization",Initial,09/25/2024,2555,91,"1199 SEIU United Healthcare Workers East",842,,,,,357,1199,,,,"1199 SEIU United Healthcare Workers East","Included: All full-time, regular part-time and per-diem  Personal Care Aides and Home Health Aides who are employed by the Employer and working in New York City (Queens, Brooklyn, Staten Island, the Bronx or Manhattan), Nassau County, Suffolk County or Westchester County. 

Excluded: All other employees, including coordinators, personal assistants, guards and supervisors defined by the Act.
",,,
"Region 32, Oakland, California",32-RC-348745,"Walnut Creek Automotive, LLC",Closed,08/20/2024,10/10/2024,"Certific. of Representative","Walnut Creek",CA,A,"Single Labor Organization",Initial,09/25/2024,12,,"Machinists Automotive Trades District Lodge No. 190, Machinists Local 1173",9,,,,,2,11,,,,"Machinists Automotive Trades District Lodge No. 190, Machinists Local 1173","All full-time and regular part-time automotive technicians and parts counter persons employed by the Employer at its facility located at 2791 N. Main Street, Walnut Creek, CA 94597; Excluding all other employees, confidential employees, office clerical employees, guards, and supervisors as defined by the National Labor Relations Act.",,,
"Region 28, Phoenix, Arizona",28-RC-349324,"Ryder Truck Rentals, Inc.",Closed,08/27/2024,10/16/2024,"Certification of Results",Tucson,AZ,A,"Single Labor Organization",Initial,09/25/2024,7,,"General Teamsters (Excluding Mailers), State of Arizona, Local Union No. 104, a/w International Brotherhood of Teamsters",2,,,,,5,7,,,,,"INCLUDED: All full-time and regular part-time technicians and service employees employed by the Employer in Tucson, Arizona.

EXCLUDED: All other employees, office clerical employees, professional employees, guards, and supervisors as defined in the Act.",,,
"Region 02, New York, New York",02-RC-340647,"New York University",Closed,04/23/2024,10/09/2024,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,09/25/2024,273,,"Student Workers at NYU",158,,,,,2,160,,,,"Student Workers at NYU",,,,
"Region 32, Oakland, California",32-RC-349579,"Granite Rock Company",Closed,08/30/2024,10/03/2024,"Certification of Results",Watsonville,CA,A,"Single Labor Organization",Initial,09/25/2024,29,,"Teamsters Local 853",13,,,,,15,28,,,,,"All full-time and regular part-time transportation drivers employed by the Employer at its Wilson Quarry facility located at 1900 Quarry Road, Aromas, CA 95004; Excluding all other employees, employees represented by a labor organization, confidential employees, office clerical employees, guards, and supervisors as defined by the National Labor Relations Act.",,,
"Region 20, San Francisco, California",20-RC-349265,"NorthBay Health",Closed,08/28/2024,10/09/2024,"Certification of Results",Vacaville,CA,A,"Single Labor Organization",Initial,09/25/2024,6,,"International Union of Operating Engineers, Stationary Engineers, Local 39 AFL-CIO",3,,,,,,3,,,,"International Union of Operating Engineers, Stationary Engineers, Local 39 AFL-CIO","All full-time and part-time Biomedical Equipment Tech I employees employed by the Employer at its facilities located at 1200 B. Gale Wilson Blvd., Fairfield, California and 1000 Nut Tree Rd, Vacaville, California; excluding guards, managers, confidential employees, and supervisors as defined by the Act.",,,
"Region 10, Atlanta, Georgia",10-RC-350274,"Starbucks Corporation",Closed,09/11/2024,10/02/2024,"Certific. of Representative",Alpharetta,GA,A,"Single Labor Organization",Initial,09/24/2024,14,,"Workers United, Southern Regional Joint Board",11,,,,,1,12,,,,"Workers United, Southern Regional Joint Board","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Starbucks Corporation at its facility located at 8500 Holcomb Bridge Road, Alpharetta, Georgia 30022.

Excluded: All other employees, store managers, assistant store managers, office clerical employees, professional employees, guards, and supervisors as defined by the Act.",,,
"Region 05, Baltimore, Maryland",05-RC-348132,"Healthcare Services Group, Inc.",Closed,08/12/2024,10/03/2024,"Certific. of Representative",Catonsville,MD,A,"Single Labor Organization",Initial,09/24/2024,11,,"1199 SEIU United Healthcare Workers East",4,,,,,2,6,,,,"1199 SEIU United Healthcare Workers East","All full-time and regular part-time housekeepers, floor technicians, and laundry workers employed by the Employer at the Forest Haven Nursing and Rehabilitation Center currently located in Catonsville, Maryland but excluding all other employees, professional employees, managerial employees, guards, and supervisors as defined by the Act.",,,
"Region 29, Brooklyn, New York",29-RC-349171,"Diversified Maintenance Systems, LLC",Closed,08/27/2024,10/02/2024,"Certific. of Representative","Garden City",NY,A,"Single Labor Organization",Initial,09/24/2024,11,,"Amalgamated Union Local 1",7,,,,,1,8,,2,,"Amalgamated Union Local 1","Included: All full-time and regular part-time employees employed as cleaners working at the 630 Old Country Road, Garden City, New York location
Excluded: All other employees, office clericals, guards, and supervisors as defined by the Act",,,
"Region 19, Seattle, Washington",19-RC-348973,"Cut Bank Gas Company",Closed,08/23/2024,10/02/2024,"Certific. of Representative","Cut Bank",MT,A,"Single Labor Organization",Initial,09/24/2024,6,,"Local Union No. 459, United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO",5,,,,,1,6,,,,"Local Union No. 459, United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO","All full-time and regular part-time fitters, operators, welders, and office personnel employees employed by the Employer at its Cut Bank, Montana facility located at 403 E. Main Street, Cut Bank, MT; excluding all other employees, managers, confidential employees, guards, and supervisors as defined by the Act.",,,
"Region 31, Los Angeles, California",31-RM-349639,"Providence Saint John's Health Center",Closed,09/03/2024,10/02/2024,"Certific. of Representative","Santa Monica",CA,A,"Single Labor Organization",Initial,09/24/2024,7,,"California Nurses Association",6,,,,,,6,,1,,"California Nurses Association","Included: All Full-Time, Part-Time and Per Diem Navigator RNs employed by the Employer at 2121 Santa Monica Boulevard, Santa Monica, California, 90404.


Excluded: All other employees, clinical educators, clinical nurse specialists, case managers, confidential employees, employees of outside registries and other agencies supplying labor to the Employer, already represented Employees, guards, regularly assigned Charge Nurses, RN Specialty Coordinators and supervisors within the meaning of the National Labor Relations Act.",,,
"Region 09, Cincinnati, Ohio",09-RM-348668,"BUSKEN BAKERY, INC.",Closed,08/19/2024,11/01/2024,"Certification of Results",Cincinnati,OH,A,"Single Labor Organization",Initial,09/24/2024,7,,"Teamsters Local Union No. 1199",1,,,,,6,7,,,,,"All regular full-time and part-time delivery employees and night finishers employed by the Employer at its facility located at 2675 Madison Road, Cincinnati Ohio, excluding all office clerical employees, professional employees, guards, supervisors as defined in the Act, and all other employees.",,,
"Region 12, Tampa, Florida",12-RM-348149,"Premier Beverage Company, LLC, dba Breakthru Beverage Florida",Closed,08/12/2024,10/03/2024,"Certific. of Representative",Orlando,FL,A,"Single Labor Organization",Initial,09/23/2024,160,,"International Brotherhood of Teamsters",91,,,,,54,145,,1,,"International Brotherhood of Teamsters","Included: All full-time and regular part-time drivers, employed by the Employer at its facilities located at 8226 Phillips Highway, Suite 103, Jacksonville, Florida; 1555 Commerce Blvd., Midway, Florida; 8826 Grow Drive, Pensacola, Florida; 502 Sunport Lane, Suite 100, Orlando, Florida; 13351 Saddle Road, Fort Myers, Florida; and 6031 Madison Ave., Tampa, Florida.

Excluded: All other employees, guards and supervisors as defined by the Act. 
",,,
"Region 12, Tampa, Florida",12-RC-348016,"Transdev Services, Inc.",Closed,08/09/2024,10/01/2024,"Certific. of Representative","West Palm Beach",FL,A,"Single Labor Organization",Initial,09/20/2024,20,,"Amalgamated Transit Union, Local 1577, AFL-CIO, CLC",17,,,,,3,20,,,,"Amalgamated Transit Union, Local 1577, AFL-CIO, CLC","Included: All full-time and regular part-time employees,
including payroll clerks, window dispatchers, schedulers,
schedulers/routers, road supervisors, techs-in-charge,
trainer/driver instructors and parts clerks employed by the
Employer at 375 Kelly Dr., West Palm Beach, FL 33411
and/or 1220 W. Industrial Ave, Boynton Beach, FL 33426.

Excluded: All employees currently represented by a labor
union, guards, managers, and supervisors as defined in the
Act.",,,
